institution,matched_name,city,country_code,latitude,longitude,source,ror_id,openalex_id,score
zhejiang normal university,Zhejiang Normal University,Jinhua,CN,29.10678,119.64421,openalex,,https://openalex.org/I135237710,0.0
university of strasbourg,Université de Strasbourg,Strasbourg,FR,48.58392,7.74553,openalex,,https://openalex.org/I68947357,0.0
"ZHEJIANGDAHUATECHNOLOGYCO.,LTD",AGRF Ltd,Brisbane,AU,-27.46794,153.02809,openalex,,https://openalex.org/I4210154382,0.0
D4C,,,,,,,,,0
private researcher),,,,,,,,,0
iLambda Inc.,,,,,,,,,0
JD. Inc,,,,,,,,,0
Institute of computational biology,,,,,,,,,0
Vernacular.ai,,,,,,,,,0
CMU†,Carnegie Mellon University,Pittsburgh,US,40.44062,-79.99589,openalex,,https://openalex.org/I74973139,0.0
Facebook†,Meta (Israel),Tel Aviv,IL,32.08088,34.78057,openalex,,https://openalex.org/I2252078561,0.0
Cisco+2,Université Rennes 2,Rennes,FR,48.11198,-1.67429,openalex,,https://openalex.org/I3124938446,0.0
UIUC✠,University of Illinois Urbana-Champaign,Urbana,US,40.11059,-88.20727,openalex,,https://openalex.org/I157725225,0.0
University of Chicago✠,University of Chicago,Chicago,US,41.85003,-87.65005,openalex,,https://openalex.org/I40347166,0.0
HBKU,Hamad bin Khalifa University,Doha,QA,25.28545,51.53096,openalex,,https://openalex.org/I4210144839,0.0
Stardust.AI,,,,,,,,,0
harmony.ai,,,,,,,,,0
University of Arizona,University of Arizona,Tucson,US,32.22174,-110.92648,openalex,,https://openalex.org/I138006243,0.0
"wei Co., Ltd",AGRF Ltd,Brisbane,AU,-27.46794,153.02809,openalex,,https://openalex.org/I4210154382,0.0
Microsoft♡,,,,,,,,,0
Google♣,,,,,,,,,0
Smartor.me,,,,,,,,,0
EleutherAI2,,,,,,,,,0
HiDream.ai,,,,,,,,,0
University College London2,,,,,,,,,0
King’s College London3,,,,,,,,,0
Microsoft2,,,,,,,,,0
summary.ai,,,,,,,,,0
Harmony.AI,,,,,,,,,0
301.ai,,,,,,,,,0
IIT Delhi‡,Indian Institute of Technology Delhi,New Delhi,IN,28.62137,77.2148,openalex,,https://openalex.org/I68891433,0.0
IN.AI Research♡,,,,,,,,,0
trivago N.V.,,,,,,,,,0
ByteDance2,,,,,,,,,0
ByteDance†,ByteDance (China),Beijing,,39.9075,116.39723,openalex,,https://openalex.org/I4406742408,0.0
MBZUAI2,,,,,,,,,0
University of Alberta♢,,,,,,,,,0
rinna Co. Ltd.,,,,,,,,,0
Amazon⋆,Amazon (United States),Seattle,US,47.60621,-122.33207,openalex,,https://openalex.org/I1311688040,0.0
AI4Bharat2,,,,,,,,,0
Microsoft4,,,,,,,,,0
University of Hawai’i at M ¯anoa,,,,,,,,,0
ByteDance♣,,,,,,,,,0
Bloomberg♠,,,,,,,,,0
Bloomberg♡,,,,,,,,,0
Forethought.AI,,,,,,,,,0
AI-Research.id,,,,,,,,,0
Bahasa.ai,,,,,,,,,0
BYJU’s LAB,,,,,,,,,0
Corresponding author,,,,,,,,,0
Amazon♣♠,,,,,,,,,0
Openstream.ai,,,,,,,,,0
UCSB∗,"University of California, Santa Barbara",Santa Barbara,US,34.42083,-119.69819,openalex,,https://openalex.org/I154570441,0.0
Xiaoniao.AI,,,,,,,,,0
University of Maryland∗,"University of Maryland, College Park",College Park,US,38.98067,-76.93692,openalex,,https://openalex.org/I66946132,0.0
Tournafest∗,,,,,,,,,0
University of Illinois∗,University of Illinois Urbana-Champaign,Urbana,US,40.11059,-88.20727,openalex,,https://openalex.org/I157725225,0.0
University of Chicago4,,,,,,,,,0
NVIDIA§,Nvidia (United States),Santa Clara,US,37.35411,-121.95524,openalex,,https://openalex.org/I4210127875,0.0
Kata.ai,,,,,,,,,0
